Nathan Nunn,Department of EconomicsHarvard University,National Bureau of Economic Research (NBER),Ancestral Characteristics of Modern Populations,Why Being Wrong Can Be Right: Magical Warfare Technologies and the Persistence of False Beliefs,Keeping It in the Family: Lineage Organization and the Scope of Trust in Sub-Saharan Africa,Understanding Ethnic Identity in Africa: Evidence from the Implicit Association Test (IAT),The Evolution of Culture and Institutions: Evidence From the Kuba Kingdom,The Economics of Fair Trade,Domestic Institutions as a Source of Comparative Advantage,The Transmission of Democracy: From the Village to the Nation-State,Culture and the Historical Process,On the Origins of Gender Roles: Women and the Plough
Ronald MacDonald,Department of EconomicsAdam Smith Business SchoolUniversity of Glasgow,,"The term structure of exchange rate predictability: Commonality, scapegoat, and disagreement",Education and the local equity bias around the world,The real exchange rate in the long run: Balassa-Samuelson effects reconsidered,Exchange rate forecasts and expected fundamentals,Carry funding and safe haven currencies: A threshold regression approach,Stock market reaction to fed funds rate surprises: State dependence and the financial crisis,Realized and Optimal Monetary Policy Rules in an Estimated Markov‐Switching DSGE Model of the United Kingdom,Does the euro dominate Central and Eastern European money markets?,Equilibrium exchange rate determination and multiple structural changes,Nominal interest rates and stationarity
Clemens Fuest,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,,How Will Brexit Affect Tax Competition and Tax Harmonization? The Role of Discriminatory Taxation,Reforming the Financing of the European Union: A Proposal,Integration des Solidaritätszuschlags in die Einkommensteuer,German Public Finances through the Financial Crisis,The taxation of foreign profits: A unified view,An unemployment insurance scheme for the euro area? A comparison of different alternatives using microdata,Do Higher Corporate Taxes Reduce Wages? Micro Evidence from Germany,Bundesverfassungsgericht und Krisenpolitik der EZB — Stellungnahmen der Ökonomen,Fiscal union in Europe? Redistributive and stabilizing effects of a European tax-benefit system and fiscal equalization mechanism,European Fiscal Union: What Is It? Does It work? And Are There Really 'No Alternatives'?
Raf Wouters,Nationale Bank van België/Banque national de Belqique (BNB),Centrum voor Economische StudiënFaculteit Economie en BedrijfswetenschappenKU Leuven,Endogenous risk in a DSGE model with capital-constrained financial intermediaries,Slow Recoveries: A Structural Interpretation,Unemployment in an Estimated New Keynesian Model,Sequential Bargaining in a Neo-Keynesian Model with Frictional Unemployment and Staggered Wage Negotiations,Learning in an estimated medium-scale DSGE model,Risk premiums and macroeconomic dynamics in a heterogeneous agent model,Shocks and Frictions in US Business Cycles: A Bayesian DSGE Approach,Firm-Specific Production Factors in a DSGE Model with Taylor Price Setting,A Note On Inflation Persistence In A Fair Wage Model Of The Business Cycle,Comparing shocks and frictions in US and euro area business cycles: a Bayesian DSGE Approach
Erik Hurst,Applied Economics WorkshopBooth School of BusinessUniversity of Chicago,,The Transformation of Manufacturing and the Decline in U.S. Employment,Regional Redistribution through the US Mortgage Market,"Housing Booms and Busts, Labor Market Opportunities, and College Attendance","Wealth, Tastes, and Entrepreneurial Choice",Within-City Variation in Urban Decline: The Case of Detroit,Marital Sorting and Parental Wealth,What Do Small Businesses Do?,Are Household Surveys Like Tax Forms? Evidence from Income Underreporting of the Self-Employed,Endogenous gentrification and housing price dynamics,Parental Education and Parental Time with Children
Sascha O. Becker,Department of EconomicsMonash Business SchoolMonash University,,Discrimination in hiring based on potential and realized fertility: Evidence from a large-scale field experiment,"Religion, Division of Labor, and Conflict: Anti-semitism in Germany over 600 Years","Social Cohesion, Religious Beliefs, and the Effect of Protestantism on Suicide",Who voted for Brexit? Individual and regional data combined,Who voted for Brexit? A comprehensive district-level analysis,Effects of EU Regional Policy: 1989-2013,Causes and consequences of the Protestant Reformation,Trade and tasks: an exploration over three decades in Germany,Does women's education affect fertility? Evidence from pre-demographic transition Prussia,Not the Opium of the People: Income and Secularization in a Panel of Prussian Counties
Paola Sapienza,Department of FinanceKellogg Graduate School of ManagementNorthwestern University,Centre for Economic Policy Research (CEPR),"Corporate Culture, Societal Culture, and Institutions",Monnet’s error?,Time varying risk aversion,The Value of Corporate Culture,The Determinants of Attitudes toward Strategic Default on Mortgages,The emergence of male leadership in competitive environments,Time discounting for primary and monetary rewards,Is mistrust self-fulfilling?,Long-Term Persistence,Procrastination and impatience
Joseph Farrell,Department of EconomicsUniversity of California-Berkeley,,Antitrust Evaluation of Horizontal Mergers: An Economic Alternative to Market Definition,How Strong Are Weak Patents?,The Economics of Welfare Standards in Antitrust,Coordination and Lock-In: Competition with Switching Costs and Network Effects,Integration and Independent Innovation on a Network,"Innovation, Rent Extraction, and Integration in Systems Markets",Do investors forecast fat firms? Evidence from the gold-mining industry,One-sided patience with one-sided communication does not justify stackelberg equilibrium,Cheap Talk with Two Audiences,"Converters, Compatibility, and the Control of Interfaces"
Gary Solon,Economics DepartmentEller College of ManagementUniversity of Arizona,,How Prevalent Is Downward Rigidity in Nominal Wages? International Evidence from Payroll Records and Pay Slips,What Do We Know So Far about Multigenerational Mobility?,What Are We Weighting For?,The Fragility of Estimated Effects of Unilateral Divorce Laws on Divorce Rates,Trends in men's earnings volatility: What does the Panel Study of Income Dynamics show?,The Ins and Outs of Cyclical Unemployment,Nature and Nurture in the Intergenerational Transmission of Socioeconomic Status: Evidence from Swedish Children and Their Biological and Rearing Parents,Life-Cycle Variation in the Association between Current and Lifetime Earnings,Trends in Intergenerational Income Mobility,New Evidence On Real Wage Cyclicality Within Employer–Employee Matches
Michael Keen,International Monetary Fund (IMF),,Optimal tax administration,"Base Erosion, Profit Shifting and Developing Countries","Thresholds, informality, and partitions of compliance","Targeting, cascading and indirect tax design",The Anatomy of the Vat,"Debt, Taxes, and Banks",Fiscal implications of climate change,"""Fiscal Devaluation"" and Fiscal Consolidation: The VAT in Troubled Times",Coordinating climate and trade policies: Pareto efficiency and the role of border tax adjustments,The value added tax: Its causes and consequences
Olympia Bover,Banco de España,,"Income, consumption and wealth inequality in Spain",Measuring expectations from household surveys: new results on subjective probabilities of future house prices,"The Distribution of Debt across Euro-Area Countries: The Role of Individual Characteristics, Institutions, and Credit Conditions",Wealth Inequality And Household Structure: U.S. Vs. Spain,Hedonic house prices without characteristics: the case of new multiunit housing,Are there economies of scale in the demand for money by firms? Some panel data estimates,Learning about migration decisions from the migrants: Using complementary datasets to model intra-regional migrations in Spain,"Unemployment duration, benefit duration, and the business cycle",Female labour force participation in the 1980s: the case of Spain,Another look at the instrumental variable estimation of error-components models
Robert E. Lipsey,,,South–South FDI and Development in East Asia,"Measuring The Location Of Production In A World Of Intangible Productive Assets, Fdi, And Intrafirm Trade",Measuring International Trade in Services,Foreign Firms and Indonesian Manufacturing Wages: An Analysis with Panel Data,Foreign Entry into US Manufacturing by Takeovers and the Creation of New Firms,Affiliates of U.S. and Japanese Multinationals in East Asian Production and Trade,The Role of Foreign Direct Investment in International Capital Flows,Measuring real investment: trends in the United States and international comparisons,Foreign Direct Investment and Employment: Home Country Experience in the United States and Sweden,Wage Dispersion and Country Price Levels
Aldo Rustichini,Department of EconomicsUniversity of Minnesota,,"Moral hypocrisy, power and social preferences",Self-selection and variations in the laboratory measurement of other-regarding preferences across subject pools: evidence from one college student and two adult samples,Which measures of time preference best predict outcomes: Evidence from a large-scale field experiment,Growth and Indeterminacy in Dynamic Models with Externalities,Understanding the size and profitability of firms: The role of a biological factor,Social Decision Theory: Choosing within and between Groups,On the computation of optimal monotone mean–variance portfolios via truncated quadratic utility,Dynamic variational preferences,Temptation-Driven Preferences,Portfolio Selection With Monotone Mean‐Variance Preferences
John M. Quigley,,,Wealth Effects Revisited 1975-2012,The Future of the Government-Sponsored Enterprises: The Role for Government in the U.S. Mortgage Market,The Economics of Green Building,"Housing Price Dynamics in Time and Space: Predictability, Liquidity and Investor Returns","Housing Policy, Mortgage Policy, and the Federal Housing Administration",Political and public acceptability of congestion pricing: Ideology and self-interest,Doing Well by Doing Good? Green Office Buildings,"Urbanization, productivity, and innovation: Evidence from investment in higher education",Land use regulation with durable capital,"Urbanization, Agglomeration, and Economic Development"
Marianne Baxter,Department of EconomicsBoston University,National Bureau of Economic Research (NBER),"IKEA: product, pricing, and pass-through",International risk-sharing in the short run and in the long run,Determinants of business cycle comovement: a robust analysis,"Trade Structure, Industrial Structure, and International Business Cycles",Social Security as a financial asset: gender-specific risks and returns,What Can Account for Fluctuations in the Terms of Trade?,Household Production and the Excess Sensitivity of Consumption to Current Income,"Nontraded goods, nontraded factors, and international non-diversification",Measuring Business Cycles: Approximate Band-Pass Filters For Economic Time Series,International trade and business cycles
Gerard J. van den Berg,"School of Economics, Finance and ManagementUniversity of Bristol",,Transgenerational effects of childhood conditions on third generation health and education outcomes,"Ambient temperature during gestation and cold-related adult mortality in a Swedish cohort, 1915–2002",Does the Size of the Effect of Adverse Events at High Ages on Daily‐Life Physical Functioning Depend on the Economic Conditions Around Birth?,The impact of early-life economic conditionson cause-specific mortality during adulthood,The Economics of Grief,Explaining Differences Between the Expected and Actual Duration Until Return Migration: Economic Changes,Long-run effects of gestation during the Dutch Hunger Winter famine on labor market and hospitalization outcomes,Instrumental Variable Estimation of the Causal Effect of Hunger Early in Life on Health Later in Life,The threat effect of participation in active labor market programs on job search behavior of migrants in Germany,The role of marriage in the causal pathway from economic conditions early in life to mortality
Jeffrey Andrew Smith,Economics DepartmentUniversity of Wisconsin-Madison,Institute of Labor Economics (IZA),Viewpoint: Estimating the causal effects of policies and programs,Tobacco Regulation and Cost-Benefit Analysis: How Should We Value Foregone Consumer Surplus?,Employment and Training Programs,The effect of vocational rehabilitation on the employment outcomes of disability insurance beneficiaries: new evidence from Canada,On Educational Performance Measures,Heterogeneous impacts in PROGRESA,Bandwidth Selection and the Estimation of Treatment Effects with Unbalanced Data,Evaluating search and matching models using experimental data,Does matching overcome LaLonde's critique of nonexperimental estimators?,How robust is the evidence on the effects of college quality? Evidence from matching
Randolph Preston Mcafee,Microsoft Research,,Fraud Cycles,The tradeoff of the commons,License prices for financially constrained firms,Pricing Damaged Goods,Capacity Choice Counters the Coase Conjecture,Synergies in Wireless Telephony: Evidence from the Broadband PCS Auctions,Damaged Goods,Sequentially Optimal Auctions,Updating the Reserve Price in Common-Value Auctions,Bidding Rings
Jay R. Ritter,Warrington College of BusinessUniversity of Florida,,Institutional affiliation and the role of venture capital: Evidence from initial public offerings in Japan,"Investment banking, reputation, and the underpricing of initial public offerings",,,,,,,,
Andrés Rodríguez-Pose,Department of Geography and EnvironmentLondon School of Economics (LSE),,Do high‐quality local institutions shape labour productivity in Western European manufacturing firms?,Government institutions and the dynamics of urban growth in China,"Does combining different types of collaboration always benefit firms? Collaboration, complementarity and product innovation in Norway","Well-being, Political Decentralisation and Governance Quality in Europe",A woman’s touch? Female migration and economic development in the United States,"Regional inequality in Europe: evidence, theory and policy implications",Innovating in less developed regions: What drives patenting in the lagging regions of Europe and North America,Change in urban concentration and economic growth,The determinants of foreign direct investment in sub-Saharan Africa: What role for governance?,Shifting horizons in local and regional development
T. Paul Schultz,Economic Growth CenterEconomics DepartmentYale University,Institute of Labor Economics (IZA),"Family Planning and Women’s and Children’s Health: Long-Term Consequences of an Outreach Program in Matlab, Bangladesh",Population and Health Policies,"Population Policies, Fertility, Women's Human Capital, and Child Quality",Wage rentals for reproducible human capital: evidence from Ghana and the Ivory Coast,Evidence of Returns to Schooling in Africa from Household Surveys: Monitoring and Restructuring the Market for Education,Wage Gains Associated with Height as a Form of Health Human Capital,Why Governments Should Invest More to Educate Girls,School subsidies for the poor: evaluating the Mexican Progresa poverty program,Health and Schooling Investments in Africa,Inequality in the distribution of personal income in the world: How it is changing and why
Ulrike Malmendier,"University of California, Berkeley, Haas School of Business, Finance Group","Department of Economics
University of California-Berkeley",Voting to Tell Others,The Importance of Being Marginal: Gender Differences in Generosity,Winning by Losing: Evidence on the Long-run Effects of Mergers,Target revaluation after failed takeover attempts: Cash versus stock,With a Little Help from My (Random) Friends: Success and Failure in Post-Business School Entrepreneurship,The Role of Theory in Field Experiments,Testing for Altruism and Social Pressure in Charitable Giving,Depression Babies: Do Macroeconomic Experiences Affect Risk Taking?,Superstar CEOs,The Bidder's Curse
Gregory Udell,Department of FinanceKelley School of BusinessIndiana University,,The Home Bias and the Credit Crunch: A Regional Perspective,“When the cat's away the mice will play”: Does regulation at home affect bank risk-taking abroad?,Loan officers and relationship lending to SMEs,"Information verifiability, bank organization, bank competition and bank-borrower relationships",Bank Market Power and SME Financing Constraints,Are trade creditors relationship lenders?,Bank Size and Lending Relationships in Japan,"Corporate governance and bank performance: A joint analysis of the static, selection, and dynamic effects of domestic, foreign, and state ownership",Does market size structure affect competition? The case of small business lending,"Competition, risk neutrality and loan commitments"
Hayne Ellis Leland,Walter A. Haas School of BusinessUniversity of California-Berkeley,," Optimal Capital Structure, Endogenous Bankruptcy, and the Term Structure of Credit Spreads"," Corporate Debt Value, Bond Covenants, and Optimal Capital Structure",On Equilibrium Asset Price Processes,Insider Trading: Should It Be Prohibited?,"Market Liquidity, Hedging, and Crashes", Option Pricing and Replication with Transactions Costs, Who Should Buy Portfolio Insurance?,"Informational Asymmetries, Financial Structure, and Financial Intermediation",Quality Choice and Competition,Regulation of Natural Monopolies and the Fair Rate of Return
Sandra E. Black,Department of EconomicsSchool of Arts and SciencesColumbia University,School of International and Public Affairs (SIPA)Columbia University,Born to Lead? The Effect of Birth Order on Noncognitive Abilities,"Healthy(?), wealthy, and wise: Birth order and adult health",On the Origins of Risk-Taking in Financial Markets,Learning to Take Risks? The Effect of Education on Risk-Taking in Financial Markets,Can you leave high school behind?,Breaking the Glass Ceiling? The Effect of Board Quotas on Female Labour Market Outcomes in Norway,Care or Cash? The Effect of Child Care Subsidies on Student Performance,Losing Heart? The Effect of Job Displacement on Health,Under Pressure? The Effect of Peers on Outcomes of Young Adults,Recent Developments in Intergenerational Mobility
Tobias Adrian,International Monetary Fund (IMF),,Risk‐taking channel of monetary policy,Shadow banking and market-based finance,Market Liquidity After the Financial Crisis,Dealer balance sheets and bond liquidity provision,Global Price of Risk and Stabilization Policies,Vulnerable Growth,Macroprudential policy: a case study from a tabletop exercise,Nonlinearity and Flight‐to‐Safety in the Risk‐Return Trade‐Off for Stocks and Bonds,"Monetary Policy, Financial Conditions, and Financial Stability",Liquidity policies and systemic risk
William Kerr,Harvard Business SchoolHarvard University,,The Gift of Global Talent: Innovation Policy and the Economy,Immigrant Networking and Collaboration: Survey Evidence from CIC,Digital Labor Markets and Global Talent Flows,Global Talent Flows,"Taxation, corruption, and growth",High-Skilled Migration and Agglomeration,Immigrant Entrepreneurship,Global Collaborative Patents,Networks and the Macroeconomy: An Empirical Exploration,Financing Innovation
Jan-Egbert Sturm,"KOF Swiss Economic InstituteDepartment of Management, Technology and Economics (D-MTEC)Eidgenössische Technische Hochschule Zürich (ETHZ)",CESifo,Testing the Grossman model of medical spending determinants with macroeconomic panel data,Finance and income inequality: A review and new evidence,"Income Inequality, Capitalism, and Ethno-linguistic Fractionalization",Factors leading to inflation targeting - the impact of adoption,Politics and IMF Conditionality,Funktionswandel der EZB?,Explaining IMF lending decisions after the Cold War,Has the EMU reduced wage growth and unemployment? Testing a model of trade union behavior,Tax competition and income sorting: Evidence from the Zurich metropolitan area,EEAG Report on the European Economy 2008
Ray Fair,Cowles Foundation for Research in EconomicsYale University,Economics DepartmentYale University,Possible Macroeconomic Consequences of Large Future Federal Government Deficits,Evaluating Inflation Targeting Using a Macroeconometric Model,A Comparison of Five Federal Reserve Chairmen: Was Greenspan the Best?,Estimated Age Effects in Baseball,Policy Effects in the Post Boom U.S. Economy,Events That Shook the Market,Bootstrapping Macroeconometric Models,Optimal Control and Stochastic Simulation of Large Nonlinear Models with Rational Expectations,"Shock effects on stocks, bonds, and exchange rates","The Great Gatsby: Yale, Princeton, Columbia, Harvard, Oxford"
Charles W. Calomiris,,,Deposit Insurance: Theories and Facts,Interbank networks in the National Banking Era: Their purpose and their role in the Panic of 1893,"Stealing Deposits: Deposit Insurance, Risk‐Taking, and the Removal of Market Discipline in Early 20th‐Century Banks","Liquidity Risk, Bank Networks, and the Value of Joining the Federal Reserve System",How collateral laws shape lending and sectoral activity,How does credit supply respond to monetary policy and bank minimum capital requirements?,Identifying channels of credit substitution when bank capital requirements are varied,Corporate governance and risk management at unprotected banks: National banks in the 1890s,Betting on Secession: Quantifying Political Events Surrounding Slavery and the Civil War,The effects of reconstruction finance corporation assistance on Michigan's banks' survival in the 1930s
Caroline Hoxby,Department of EconomicsStanford University,National Bureau of Economic Research (NBER),The effects of the tax deduction for postsecondary tuition: Implications for structuring tax-based aid,The Returns to the Federal Tax Credits for Higher Education,What High-Achieving Low-Income Students Know about College,"The Economics of Online Postsecondary Education: MOOCs, Nonselective Education, and Highly Selective Education","The Missing ""One-Offs"": The Hidden Supply of High-Achieving, Low-Income Students",Endowment Management Based on a Positive Model of the University,The governance and performance of universities: evidence from Europe and the US,The Changing Selectivity of American Colleges,A Revealed Preference Ranking of U.S. Colleges and Universities,Do and Should Financial Aid Packages Affect Students' College Choices?
Victor A. Ginsburgh,European Centre for Advanced Research in Economics and Statistics (ECARES)Solvay Brussels School of Economics and ManagementUniversité Libre de Bruxelles,Center for Operations Research and Econometrics (CORE)École des Sciences Économiques de LouvainUniversité Catholique de Louvain,Ranking languages in the European Union: Before and after Brexit,Power method tâtonnements for Cobb–Douglas economies,Foreign Language Learning and Trade,Compensation schemes for learning a Lingua Franca in the European Union,Ranking languages in the European Union: Before and after Brexit,Splendeurs et misères d’une libéralisation de tout et de rien,The transfer paradox in welfare space,"Colonial legacy, polarization and linguistic disenfranchisement: The case of the Sri Lankan War","Nominees, winners, and losers",Issues in the international market for cultural heritage
Linda S. Goldberg,Research and Statistics GroupFederal Reserve Bank of New York,,The international transmission of monetary policy,International Banking and Cross-Border Effects of Regulation: Lessons from the United States,International Banking and Liquidity Risk Transmission: Lessons from Across Countries,Follow the Money: Quantifying Domestic Effects of Foreign Bank Shocks in the Great Recession,Liquidity management of U.S. global banks: Internal capital markets in the great recession,Central bank dollar swap lines and overseas dollar funding costs,Global Banks and International Shock Transmission: Evidence from the Crisis,Macroeconomic interdependence and the international role of the dollar,Pass-Through of Exchange Rates to Consumption Prices: What Has Changed and Why?,Risks in U.S. Bank International Exposures
Ugo Panizza,International Economics SectionThe Graduate Institute of International and Development Studies,,"Corporate debt, firm size and financial fragility in emerging markets",The cyclicality of international public sector borrowing in developing countries: Does the lender matter?,Nonlinearities in the Relationship Between Finance and Growth,Can countries rely on foreign saving for investment and economic development?,A surplus of ambition: can Europe rely on large primary surpluses to solve its debt problem?,Public Debt and Economic Growth in Advanced Economies: A Survey,"Debt levels, debt composition, and sovereign spreads in emerging and advanced economies",Finance and Economic Development in a Model with Credit Rationing,Public debt and economic growth: Is there a causal effect?,Too much finance?
George M. Constantinides,Booth School of BusinessUniversity of Chicago,,Asset Pricing with Countercyclical Household Consumption Risk,The Puzzle of Index Option Returns,Are Options on Index Futures Profitable for Risk‐Averse Investors? Empirical Evidence,Asset Pricing Tests with Long-run Risks in Consumption Growth,Mispricing of S&amp;P 500 Index Options,Junior is rich: bequests as consumption,Market Organization And The Prices Of Financial Assets,Stochastic dominance bounds on derivatives prices in a multiperiod economy with proportional transaction costs,Junior must pay: pricing the implicit put in privatizing Social Security,Junior Can't Borrow: A New Perspective on the Equity Premium Puzzle
Jacques MAIRESSE,Centre de Recherche en Économie et Statistique (CREST),United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT),Edmond Malinvaud and the Problem of Statistical Induction,Employment Protection Legislation Impacts on Capital and Skills Composition,Comparing micro-evidence on rent sharing from two different econometric models,"Market Regulations, Prices, and Productivity",CDM 20 years after,Micro-evidence on product and labor market regime differences between Chile and France,Les effets macroéconomiques sur la productivité et les prix de vastes réformes structurelles sur les marchés des biens et du travail,"Product and Labour Market Regulations, Production Prices, Wages and Productivity","Dynamic models of R &amp; D, innovation and productivity: Panel data evidence for Dutch and French manufacturing",The R&amp;D tax credit in France: assessment and ex ante evaluation of the 2008 reform
Roger H. Gordon,Department of EconomicsUniversity of California-San Diego (UCSD),,The choice of the personal income tax base,Views among Economists: Professional Consensus or Point-Counterpoint?,Provincial and Local Governments in China: Fiscal Institutions and Government Behavior,Tax structures in developing countries: Many puzzles and a possible explanation,Puzzling Tax Structures in Devloping Countries: A Comparison of Two Alternative Explanations,Taxation of Interest Income,Do we now collect any revenue from taxing capital income?,International taxation,Home Bias in Portfolios and Taxation of Asset Income,Expenditure Competition
Randall Morck,School of BusinessUniversity of Alberta,,Japan's Ultimately Unaccursed Natural Resources-financed Industrialization,Productivity growth and stock returns: firm- and aggregate-level analyses,"Family Ties, Inheritance Rights, and Successful Poverty Alleviation: Evidence from Ghana",Finance and Governance in Developing Economies,"Economics, History, and Causation",Capitalizing China,Adoptive expectations: Rising sons in Japanese family firms,"Information, Analysts, and Stock Return Comovement",Never Waste a Good Crisis: An Historical Perspective on Comparative Corporate Governance,"Banking system control, capital allocation, and economy performance"
Carl Walsh,Economics DepartmentUniversity of California-Santa Cruz (UCSC),,Monetary Policy and Key Unobservables: Evidence from Large Industrial and Selected Inflation-Targeting Countries,Welfare-Based Optimal Monetary Policy with Unemployment and Sticky Prices: A Linear-Quadratic Framework,Monetary Policy Under Uncertainty and Learning: An Overview,"Vacancies, unemployment, and the Phillips curve","Transparency, Flexibility, and Inflation Targeting",Implications of a changing economic structure for the strategy of monetary policy,"Labor Market Search, Sticky Prices, and Interest Rate Policies",The lender of last resort function under a currency board: The case of Argentina,Is New Zealand's Reserve Bank Act of 1989 an Optimal Central Bank Contract?,"Optimal contracts for independent central bankers: private information, performance measures and reappointment"
Guesnerie Roger,Paris School of Economics,,Fragmentation and Wage Inequality: Insights from a Simple Model,Revisiting Coase on anticipations and the cobweb model,Trois questions épineuses à l'arrière-plan des politiques climatiques,Défaillances de coordination et volatilité des marchés,Eductive Stability in Real Business Cycle Models,L’enseignement des sciences économiques au lycée : intention scientifique et impératif de laïcité,The geometry of global production and factor price equalisation,Macroeconomic and Monetary Policies from the Eductive Viewpoint,Commentaires sur le rapport Stern : Quelques mots d'introduction,De l'utilité du calcul économique public
Danny Quah,Economics DepartmentLondon School of Economics (LSE),,Spatial Agglomeration Dynamics,Internet cluster emergence,UK Phillips curves and monetary policy,The new empirics of economic growth,Twin Peaks: Growth and Convergence in Models of Distribution Dynamics,"Convergence, endogenous growth, and productivity disturbances",Measuring Core Inflation?,Aggregate and Regional Disaggregate Fluctuations,"One business cycle and one trend from (many,) many disaggregates",Exploiting cross-section variation for unit root inference in dynamic data
Michael Lechner,School of Economics and Political ScienceUniversität St. Gallen,Schweizerisches Institut für empirische WirtschaftsforschungSchool of Economics and Political ScienceUniversität St. Gallen,The effects of incentives to exercise on student performance in college,Direct and indirect effects of training vouchers for the unemployed,Difference-in-difference estimation by FE and OLS when there is panel non-response,Financial work incentives for disability benefit recipients: lessons from a randomised field experiment,The Finite Sample Performance of Estimators for Mediation Analysis Under Sequential Conditional Independence,"Physical Activity of Adults: A Survey of Correlates, Determinants, and Effects",Practical procedures to deal with common support problems in matching estimation,Labor market effects of sports and exercise: Evidence from Canadian panel data,Workplace health promotion and labour market performance of employees,Why Do Tougher Caseworkers Increase Employment? The Role of Program Assignment as a Causal Mechanism
Klaus M. Schmidt,Volkswirtschaftliche FakultätLudwig-Maximilians-Universität München,,"Discretion, Productivity, and Work Satisfaction",Pay What You Want as a Marketing Strategy in Monopolistic and Competitive Markets,Social Preferences and Competition,"Screening, Competition, and Job Design: Economic Origins of Good Jobs",Commitment through Incomplete Information in a Simple Repeated Bargaining Game,The Role of Experiments for the Development of Economic Theories,On inequity aversion: A reply to Binmore and Shaked,Complementary Patents and Market Structure,Two tales on resale,Adding a Stick to the Carrot? The Interaction of Bonuses and Fines
James Alm,Department of EconomicsTulane University,,Financial constraints and firm tax evasion,What Motivates Tax Compliance?,"The housing crisis, foreclosures, and local tax revenues",Is the Haig‐Simons Standard Dead? The Uneasy Case for a Comprehensive Income Tax,State and federal tax policy toward nonprofit organizations,Do government subsidies to low-income individuals affect interstate migration? Evidence from the Massachusetts Health Care Reform,Is Economics Useful for Public Policy?,Property tax delinquency and its spillover effects on nearby properties,Honesty or dishonesty of taxpayer communications in an enforcement regime,Evaluating the Economic Effects of Flat Tax Reforms Using Synthetic Control Methods
Subal C. Kumbhakar,Department of EconomicsState University of New York-Binghamton (SUNY),,Nonparametric estimates of the clean and dirty energy substitutability,An internally consistent approach to the estimation of market power and cost efficiency with an application to U.S. banking,A hedonic-output-index-based approach to modeling polluting technologies,Heterogeneous credit union production technologies with endogenous switching and correlated effects,Bayesian Approach to Disentangling Technical and Environmental Productivity,Estimation of Input Distance Functions: A System Approach,A Cost System Approach to the Stochastic Directional Technology Distance Function with Undesirable Outputs: The Case of us Banks in 2001–2010,A generalized panel data switching regression model,Estimation of productivity in Korean electric power plants: A semiparametric smooth coefficient model,Varying coefficient panel data model in the presence of endogenous selectivity and fixed effects
David Backus,,,Term structures of asset prices and returns,Pareto weights as wedges in two-country models,Risk and ambiguity in models of business cycles,Demography and Low-Frequency Capital Flows,Sources of Entropy in Representative Agent Models,Disasters Implied by Equity Index Options,Nonbanks in the payments system: vertical integration issues,Taxes and the global allocation of capital,Cracking the Conundrum,Exotic Preferences for Macroeconomists
Shouyong Shi,Department of EconomicsPennsylvania State University,,"Financial Frictions, Investment Delay, and Asset Market Interventions","Liquidity, assets and business cycles",A monetary theory with non-degenerate distributions,Customer relationship and sales,"Directed Search on the Job, Heterogeneity, and Aggregate Fluctuations","Liquidity, innovation and growth",Block recursive equilibria for stochastic models of search on the job,"An Equilibrium Theory of Learning, Search, and Wages",Efficient Search on the Job and the Business Cycle,Vehicle Currency
Pierre-Olivier Gourinchas,Department of EconomicsUniversity of California-Berkeley,Economic Analysis &amp; Policy Group (EAP)Walter A. Haas School of BusinessUniversity of California-Berkeley,"Rents, Technical Change, and Risk Premia Accounting for Secular Trends in Interest Rates, Returns on Capital, Earning Yields, and Factor Shares",The Analytics of the Greek Crisis,Safe Asset Scarcity and Aggregate Demand,Stories of the Twentieth Century for the Twenty-First,The financial crisis and the geography of wealth transfers,When bonds matter: Home bias in goods and assets,"An Equilibrium Model of ""Global Imbalances"" and Low Interest Rates",International financial adjustment,From World Banker to World Venture Capitalist: U.S. External Adjustment and the Exorbitant Privilege,Capital Flows to Developing Countries: The Allocation Puzzle
Arthur Van Soest,CentER for Economic ResearchSchool of Economics and ManagementUniversiteit van Tilburg,"Network for Studies on Pensions, Aging and Retirement (NetSPAR)",Household preferences for socially responsible investments,New job matches and their stability before and during the crisis,Demanding occupations and the retirement age,"Income taxation, labour supply and housework: A discrete choice model for French couples",Labor supply heterogeneity and demand for child care of mothers with young children,Peer Reporting and the Perception of Fairness,Self-Reported Disability and Reference Groups,The future of retirement and the pension system: How the public’s expectations vary over time and across socio-economic groups,Are A mericans Really Less Happy with Their Incomes?,Retirement and Home Production: A Regression Discontinuity Approach
Ravi Jagannathan,Department of FinanceKellogg Graduate School of ManagementNorthwestern University,,"Dividend Dynamics, Learning, and Expected Stock Index Returns",Price-Dividend Ratio Factor Proxies for Long-Run Risks,CAPM for estimating the cost of equity capital: Interpreting the empirical evidence,Do Hot Hands Exist among Hedge Fund Managers? An Empirical Evaluation,Do We Need CAPM for Capital Budgeting?,Understanding Mutual Fund And Hedge Fund Styles Using Return-Based Style Analysis,The Stock Market's Reaction to Unemployment News: Why Bad News Is Usually Good for Stocks,"An evaluation of multi-factor CIR models using LIBOR, swap rates, and cap and swaption prices",The declining U.S. equity premium,Does product market competition reduce agency costs?
Emad Abd Elmessih Shehata,Agricultural Economics Research Institute (AERI)Agricultural Research Center (ARC),,,,,,,,,,,
