,Name,Institution1,Institution2
630,Cheng  Hsiao ,"Department of Economics, University of Southern California, Los Angeles, California (USA)",
631,Andres  Rodriguez-Clare ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",
632,Helene  Rey ,"Department of Economics, London Business School (LBS), London, United Kingdom",
633,Kevin  Lang ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
634,Peter  Nunnenkamp ,"Institut für Weltwirtschaft (IfW), Kiel, Germany",
635,Hans  Gersbach ,"CER-ETH Center of Economic Research, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland","Institute of Labor Economics (IZA), Bonn, Germany"
636,Eswar  Prasad ,"Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",
637,Thomas  Philippon ,"Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",
638,Paul A. David ,"Department of Economics, Stanford University, Stanford, California (USA)",
639,Ronald  Masulis ,"School of Banking and Finance, UNSW Business School, UNSW Sydney, Sydney, Australia",
640,David  Laidler ,"Department of Economics, University of Western Ontario, London, Canada",
641,Roger E. A. Farmer ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)","National Institute of Economic and Social Research (NIESR), London, United Kingdom"
642,Stephen D. Williamson ,"Department of Economics, University of Western Ontario, London, Canada",
643,Michael  Brennan ,"Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
644,Robert B Barsky ,"Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",
645,Paolo  Mauro ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)","Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)"
646,Yoram  Weiss ,"Foerder Institute for Economic Research, Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",
647,Romain  Wacziarg ,"Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
648,Severin  Borenstein ,"Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
649,David  Dollar ,"Brookings Institution, Washington, District of Columbia (USA)",
650,Daniel  Trefler ,"Business Economics, Rotman School of Management, University of Toronto, Toronto, Canada",
651,Jack  Hirshleifer †,,
652,Pierre-Richard  Agénor ,"School of Economics, University of Manchester, Manchester, United Kingdom",
653,Peter N. Ireland ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
654,Douglass C. North †,,
655,John  McMillan †,,
656,Iván  Werning ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
657,Kjell G  Salvanes ,"Institutt for samfunnsøkonomi, Norges Handelshøyskole (NHH), Bergen, Norway",
658,Lubos  Pastor ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
659,Jonathan  Skinner ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
660,Steven Neil Kaplan ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
661,Nicholas  Crafts ,"Department of Economics, University of Warwick, Coventry, United Kingdom",
662,Mark  Armstrong ,"Department of Economics, Oxford University, Oxford, United Kingdom",
663,Juergen  von Hagen ,"Centre for Economic Policy Research (CEPR), London, United Kingdom",
664,Robert H. Topel ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
665,Alison Lee Booth ,"Research School of Economics, College of Business and Economics, Australian National University, Canberra, Australia",
666,Robert Norman Stavins ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
667,Pierre  Cahuc ,"Department of Economics, Sciences économiques, Sciences Po, Paris, France",
668,William Arnold Barnett ,"Department of Economics, University of Kansas, Lawrence, Kansas (USA)",
669,Guglielmo Maria  Caporale ,"Department of Economics and Finance, Brunel University, Uxbridge, United Kingdom",
670,Christina Duckworth Romer ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
671,Klaus W. Deininger ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
672,C. Knox Lovell ,"School of Economics, University of Queensland, Brisbane, Australia","Centre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland, Brisbane, Australia"
673,Ronald Patrick Smith ,"Department of Economics, Mathematics and Statistics, Birkbeck College, London, United Kingdom",
674,Craig  Burnside ,"Department of Economics, Duke University, Durham, North Carolina (USA)",
675,Harold  Demsetz †,,
676,Andrew Murray Weiss ,,
677,Morten Overgaard Ravn ,"Department of Economics, University College London (UCL), London, United Kingdom",
678,George William Evans ,"Department of Economics, University of Oregon, Eugene, Oregon (USA)",
679,Luigi  Pistaferri ,"Department of Economics, Stanford University, Stanford, California (USA)",
680,Susanto  Basu ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
681,Michael P. Devereux ,"Centre for Business Taxation, Saïd Business School, Oxford University, Oxford, United Kingdom",
682,Andrew  Metrick ,"School of Management, Yale University, New Haven, Connecticut (USA)",
683,Francesco  Caselli ,"Economics Department, London School of Economics (LSE), London, United Kingdom",
684,Thomas Warren Hertel ,"Center for Global Trade Analysis (GTAP), Department of Agricultural Economics, Purdue University, West Lafayette, Indiana (USA)",
685,Frank  Windmeijer ,"School of Economics, Finance and Management, University of Bristol, Bristol, United Kingdom",
686,Michael L. Katz ,"Economic Analysis &amp; Policy Group (EAP), Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
687,William  Thomson ,,
688,Yeon-Koo  Che ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)","Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)"
689,Francesco  Giavazzi ,"Centre for Economic Policy Research (CEPR), London, United Kingdom","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
690,Finn  Tarp ,"Development Economics Research Group - DERG, Økonomisk Institut, Københavns Universitet, København, Denmark",
691,Paul  De Grauwe ,"European Institute, London School of Economics (LSE), London, United Kingdom",
692,João M.C. Santos Silva ,"School of Economics, University of Surrey, Guildford, United Kingdom",
693,Andreu  Mas-Colell ,"Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
694,Stefan  Dercon ,"Centre for the Study of African Economies (CSAE), Department of Economics, Oxford University, Oxford, United Kingdom",
695,Hugo A. Hopenhayn ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
696,Harold Linh Cole ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
697,Piet  Rietveld †,,
698,Frédéric  Docquier ,"Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD), Esch-sur-Alzette, Luxembourg",
699,T. N. Srinivasan †,,
700,Andrew C. Harvey ,"Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",
701,Giovanni Luca Violante ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
702,Robert A Jarrow ,"Department of Economics, Cornell University, Ithaca, New York (USA)",
703,Fabrizio  Perri ,"Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",
704,Arvind  Subramanian ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
705,Jakob  Svensson ,"Institute for International Economic Studies (IIES), Stockholms Universitet, Stockholm, Sweden",
706,William N. Goetzmann ,"School of Management, Yale University, New Haven, Connecticut (USA)",
707,Ted  Bergstrom ,"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",
708,Jesus  Fernandez-Villaverde ,"Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
709,Asher  Wolinsky ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
710,David L. Hummels ,"Department of Economics, Krannert School of Management, Purdue University, West Lafayette, Indiana (USA)",
711,George-Marios  Angeletos ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
712,Richard J. Smith ,"Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",
713,Helmuth  Cremer ,"Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France","Groupe de Recherche en Économie Mathématique et Quantitative (GREMAQ), Toulouse School of Economics (TSE), Toulouse, France"
714,Pravin K Trivedi ,"School of Economics, University of Queensland, Brisbane, Australia",
715,Nancy L. Stokey ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
716,Jikun  Huang ,"China Center for Agricultural Policy (CCAP), Peking University, Beijing, China",
717,John  Vickers ,"Department of Economics, Oxford University, Oxford, United Kingdom",
718,Christoph M. Schmidt ,"RWI - Leibniz-Institut für Wirtschaftsforschung, Essen, Germany",
719,Andre  Sapir ,"European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium","Bruegel, Bruxelles/Brussel, Belgium"
720,Cars  Hommes ,"Center for Nonlinear Dynamics in Economics and Finance (CeNDEF), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands","Tinbergen Instituut, Amsterdam, Netherlands"
721,Steven  Stillman ,"Facoltà di Economia / Wirtschaftswissenschaftliche Fakutät, Libera Università di Bolzano / Freie Universität Bozen, Bozen-Bolzano, Italy",
722,Kenneth Neil Kuttner ,"Economics Department, Williams College, Williamstown, Massachusetts (USA)",
723,Paul Alan Gompers ,"Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",
724,Scott  Rozelle ,"Freeman Spogli Institute for International Studies, Stanford University, Stanford, California (USA)",
725,Jonathan A. Parker ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
726,David Ian Stern ,"Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University, Canberra, Australia",
727,Gita  Gopinath ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
728,Philippe  Jehiel ,"Paris School of Economics, Paris, France",
729,Philippe  Martin ,"Department of Economics, Sciences économiques, Sciences Po, Paris, France",
730,Duncan  Thomas ,"Department of Economics, Duke University, Durham, North Carolina (USA)",
731,Bernard  Hoekman ,"Robert Schuman Centre for Advanced Studies (RSCAS), European University Institute, Firenze, Italy",
732,Carlos A. Vegh ,"International Economics Department, School of Advanced International Studies, Johns Hopkins University, Washington, District of Columbia (USA)",
733,Rafael  Di Tella ,"Business, Government and the International Economy (BGIE) Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",
734,Don  Fullerton ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Department of Finance, College of Business, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)"
735,Matthias  Doepke ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
736,G. Andrew Karolyi ,"Johnson Graduate School of Management, Cornell University, Ithaca, New York (USA)",
737,James Bradford DeLong ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
738,Diego  Puga ,"Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",
739,Harry P. Huizinga ,"Departement Algemene Economie, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",
740,Yin-Wong  Cheung ,"Department of Economics and Finance, College of Business, City University, Kowloon, Hong Kong",
741,Magnus  Johannesson ,"Department of Economics, Handelshögskolan i Stockholm, Stockholm, Sweden",
742,Silvana  Tenreyro ,"Economics Department, London School of Economics (LSE), London, United Kingdom","Monetary Policy Committee (MPC), Bank of England, London, United Kingdom"
743,Imran  Rasul ,"Department of Economics, University College London (UCL), London, United Kingdom",
744,Jinyong  Hahn ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
745,John  Gibson ,"Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand",
746,Andrew J Hughes Hallett ,"Business School, King's College London, London, United Kingdom",
747,Nick  Hanley ,,
748,Michael  Kremer ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)","Economic Studies, Brookings Institution, Washington, District of Columbia (USA)"
749,Joseph  Gyourko ,"Real Estate Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
750,Stephen  Knack †,,
751,Jose  De Gregorio ,"Departamento de Economía, Facultad de Economía y Negocios, Universidad de Chile, Santiago, Chile",
752,Antonio  Afonso ,"Unidade de Estudos sobre Complexidade e Economia (UECE), Research in Economics and Mathematics (REM), Instituto Superior de Economia e Gestão (ISEG), Universidade de Lisboa, Lisboa, Portugal",
753,Jean-Marc  Robin ,"Department of Economics, Sciences économiques, Sciences Po, Paris, France",
754,Franco  Modigliani †,,
755,Philip H. Dybvig ,"Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",
756,Christopher R. Udry ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
757,Mark Joseph Bils ,,
758,Kevin Hjortshøj O'Rourke ,"Economics, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates",
759,James M. Buchanan †,,
760,Merton H. Miller †,,
761,David  de la Croix ,"Institut de Recherche Économique et Sociale (IRES), École des Sciences Économiques de Louvain, Université Catholique de Louvain, Louvain-la-Neuve, Belgium",
762,James  Levinsohn ,,
763,Philip  Oreopoulos ,"Department of Economics, University of Toronto, Toronto, Canada",
764,Steven  Shavell ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",
765,Motohiro  Yogo ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)",
766,Sydney C. Ludvigson ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
767,Brigitte C. Madrian ,"Marriott School of Business, Brigham Young University, Provo, Utah (USA)",
768,Dirk  Bergemann ,"Economics Department, Yale University, New Haven, Connecticut (USA)",
769,Sebnem  Kalemli-Ozcan ,"Department of Economics, University of Maryland, College Park, Maryland (USA)",
770,L. Alan Winters ,"Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",
771,Kevin J. Murphy ,"Department of Finance and Business Economics, Marshall School of Business, University of Southern California, Los Angeles, California (USA)",
772,Edward  Nelson ,"Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",
773,Kjetil  Storesletten ,"Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",
774,Richard  Layard ,"Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",
775,Hillel  Rapoport ,"Paris School of Economics, Paris, France",
776,Dimitri  Vayanos ,"Finance Department, London School of Economics (LSE), London, United Kingdom",
777,Sir David  Greenaway ,"Nottingham Centre for Research on Globalisation and Economic Policy, School of Economics, University of Nottingham, Nottingham, United Kingdom",
778,Mark Jeffrey Flannery ,,
779,Francis A. Longstaff ,"Finance Group, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
780,Jonas D.M. Fisher ,"Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",
781,Douglas Lee Miller ,"Department of Policy Analysis and Management, College of Human Ecology, Cornell University, Ithaca, New York (USA)",
782,Jaime A.P. de Melo ,"Fondation pour les études et recherches sur le développment international (FERDI), Clermont-Ferrand, France",
783,Eytan  Sheshinski ,"Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",
784,David J. Teece ,"Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
785,Benjamin E. Hermalin ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
786,Antonio  Ciccone ,"Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
787,John  Leahy ,,
788,Qi  Li ,"Department of Economics, Texas A&amp;M University, College Station, Texas (USA)",
789,John F. Helliwell ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
790,John  Fernald ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)","Economic and Political Sciences Area, INSEAD, Fontainebleau, France"
791,Antoinette  Schoar ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
792,Leonardo  Gambacorta ,"Bank for International Settlements (BIS), Basel, Switzerland",
793,Jean-Marie  Dufour ,"Department of Economics, McGill University, Montréal, Canada",
794,Mark J. Roberts ,"Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",
795,Yacine  Ait-Sahalia ,"Bendheim Center for Finance, Department of Economics, Princeton University, Princeton, New Jersey (USA)",
796,Marvin  Goodfriend ,"Department of Economics, Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",
797,Jonathan H. Wright ,"Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",
798,Alois  Stutzer ,"Wirtschaftswissenschaftliches Zentrum, Universität Basel, Basel, Switzerland",
799,Mark E. Wohar ,"Department of Economics, University of Nebraska-Omaha, Omaha, Nebraska (USA)",
800,William N. Evans ,"Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",
801,Leopold  Simar ,"Center for Operations Research and Econometrics (CORE), École des Sciences Économiques de Louvain, Université Catholique de Louvain, Louvain-la-Neuve, Belgium",
802,Philip  Keefer ,"Inter-American Development Bank, Washington, District of Columbia (USA)",
803,Edi  Karni ,"Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",
804,Amy  Finkelstein ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
805,Xiaohong  Chen ,"Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)",
806,Marie Claire  Villeval ,"Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne), Université de Lyon, Lyon, France",
807,Stefan  Nagel ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
808,Nina  Pavcnik ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
809,Dora L. Costa ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
810,Michael  Ehrmann ,"European Central Bank, Frankfurt am Main, Germany",
811,John H. Kagel ,"Department of Economics, Ohio State University, Columbus, Ohio (USA)",
812,Alberto  Bisin ,"C.V. Starr Center for Applied Economics, Department of Economics, New York University (NYU), New York City, New York (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
813,Wolfgang  Keller ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",
814,Isaac  Ehrlich ,"Department of Economics, State University of New York-Buffalo (SUNY), Buffalo, New York (USA)",
815,Rebecca M. Blank ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Institute of Labor Economics (IZA), Bonn, Germany"
816,Roberto  Rigobon ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
817,David  Lopez-Salido ,"Centre for Economic Policy Research (CEPR), London, United Kingdom",
818,Patric H. Hendershott ,"Department of Finance, Graduate School of Business, DePaul University, Chicago, Illinois (USA)",
819,Robert J. Aumann ,"Center for the Study of Rationality, Hebrew University of Jerusalem, Jerusalem, Israel",
820,Jerry  Green ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
821,Georges  Dionne ,"HEC Montréal (École des Hautes Études Commerciales), Montréal, Canada",
822,Jonathan  Heathcote ,"Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",
823,Jonathan  Temple ,"School of Economics, Finance and Management, University of Bristol, Bristol, United Kingdom",
824,Anna Jacobson Schwartz †,,
825,Stijn  Van Nieuwerburgh ,"Graduate School of Business, Columbia University, New York City, New York (USA)",
826,Apostolos  Serletis ,"Department of Economics, University of Calgary, Calgary, Canada",
827,Sweder  van Wijnbergen ,"Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands","Tinbergen Instituut, Amsterdam, Netherlands"
828,Pierre  Siklos ,"Department of Economics, School of Business and Economics, Wilfrid Laurier University, Waterloo, Canada",
829,Michael  Waldman ,"Johnson Graduate School of Management, Cornell University, Ithaca, New York (USA)","Department of Economics, Cornell University, Ithaca, New York (USA)"
830,Tamim A Bayoumi ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
831,Dirk  Krueger ,"Penn Institute for Economic Research, Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
832,Giorgio E. Primiceri ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
833,Alan C. Stockman †,,
834,Frank  Lichtenberg ,"Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",
835,Gary D. Hansen ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
836,Ben  Lockwood ,"Department of Economics, University of Warwick, Coventry, United Kingdom",
837,Linda L. Tesar ,"Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",
838,Nicholas M. Kiefer ,"Center for Analytic Economics, Department of Economics, Cornell University, Ithaca, New York (USA)",
839,Juan F  Rubio-Ramirez ,"Department of Economics, Emory University, Atlanta, Georgia (USA)",
840,Shunsuke  Managi ,"Urban Institute, Kyushu University, Fukuoka, Japan",
841,Marco  Vivarelli ,"Dipartimento di Politica Economica, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore, Italy",
842,Shelly J Lundberg ,"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",
843,Lars P. Feld ,"Walter Eucken Institut, Freiburg, Germany",
844,Thomas Johannes Dohmen ,"Wirtschaftswissenschaftlicher Fachbereich, Rheinische Friedrich-Wilhelms-Universität Bonn, Bonn, Germany",
845,Juan J. Dolado ,"Departamento de Economía, Universidad Carlos III de Madrid, Madrid, Spain",
846,Jean-Paul  Chavas ,"Department of Agricultural &amp; Applied Economics, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
847,Joseph Francis Francois ,"Department Volkswirtschaftlehre, Universität Bern, Bern, Switzerland",
848,Eric T. Swanson ,"Department of Economics, University of California-Irvine, Irvine, California (USA)",
849,Agnar  Sandmo †,,
850,L. Randall  Wray ,"Center for Full Employment and Price Stability, Department of Economics, University of Missouri-Kansas City, Kansas City, Missouri (USA)","Levy Economics Institute, Bard College, Annandale-on-Hudson, New York (USA)"
851,Tayfun  Sönmez ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
852,Michael Louis Mussa †,,
853,Zvi  Eckstein ,"School of Economics, Interdisciplinary Center (IDC), Herzliya, Israel",
854,John H. Rogers ,"Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",
855,Diego  Restuccia ,"Department of Economics, University of Toronto, Toronto, Canada",
856,Michael  Rothschild ,"Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)","Department of Economics, Princeton University, Princeton, New Jersey (USA)"
857,Michele  Boldrin ,"Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",
858,Lans  Bovenberg ,"CentER for Economic Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",
859,Simon  Anderson ,"Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",
860,Oriana  Bandiera ,"Economics Department, London School of Economics (LSE), London, United Kingdom","Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD), London School of Economics (LSE), London, United Kingdom"
861,Sebastian  Galiani ,"Department of Economics, University of Maryland, College Park, Maryland (USA)",
862,Paul William Glewwe ,"Department of Applied Economics, College of Agricultural, Food, and Environmental Sciences, University of Minnesota-St. Paul, St. Paul, Minnesota (USA)",
863,Andrew  Schotter ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
864,Douglas A. Irwin ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
865,Eric Albert Strobl ,"Department Volkswirtschaftlehre, Universität Bern, Bern, Switzerland",
866,Pedro  Carneiro ,"Department of Economics, University College London (UCL), London, United Kingdom",
867,Ronald L. Oaxaca ,"Institute of Labor Economics (IZA), Bonn, Germany","Economics Department, Eller College of Management, University of Arizona, Tucson, Arizona (USA)"
868,Arnaud  Costinot ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
869,Marcel Peter Timmer ,"Groningen Growth and Development Centre (GGDC), Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",
870,Michael  Darby ,"Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
871,Donald S. Siegel ,"School of Public Affairs, Arizona State University, Phoenix, Arizona (USA)",
872,John Enrico DiNardo †,,
873,Henning  Bohn ,"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",
874,Geoffrey  Heal ,"Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",
875,Seppo Mikko Sakari Honkapohja ,"Taloustieteen Laitos, Kauppakorkeakoulu, Aalto-yliopisto, Helsinki, Finland",
876,Parag  Pathak ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
877,Helmut  Lütkepohl ,"DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",
878,Paul  Frijters ,"Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",
879,Joel  Waldfogel ,"Carlson School of Management, University of Minnesota, Minneapolis, Minnesota (USA)",
880,Jayson L. Lusk ,"Department of Agricultural Economics, Purdue University, West Lafayette, Indiana (USA)",
881,James A. Brander ,"Strategy and Business Economics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada",
882,Catherine C Eckel ,"Department of Economics, Texas A&amp;M University, College Station, Texas (USA)",
883,Carlo  Favero ,"Dipartimento di Finanza, Università Commerciale Luigi Bocconi, Milano, Italy",
884,Charles  Wyplosz ,"International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",
885,Steven  Klepper †,,
886,Dan  Bernhardt ,"Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)","Department of Economics, University of Warwick, Coventry, United Kingdom"
887,Matthew Aaron Gentzkow ,"Department of Economics, Stanford University, Stanford, California (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
888,Mike  Tsionas ,"Management School, Lancaster University, Lancaster, United Kingdom",
889,Bruno R Biais ,"Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",
890,Bruce Clayton Petersen ,"Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",
891,David  Easley ,"Department of Economics, Cornell University, Ithaca, New York (USA)",
892,Patrick  Rey ,"Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",
893,Andrei A. Levchenko ,"Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",
894,Todd  Clark ,"Economic Research, Federal Reserve Bank of Cleveland, Cleveland, Ohio (USA)",
895,A. Ronald Gallant ,"Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",
896,Loretta J. Mester ,"Federal Reserve Bank of Cleveland, Cleveland, Ohio (USA)",
897,Mark  Carhart ,,
898,Peter P. Wakker ,"Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",
899,Nelson C. Mark ,"Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",
900,Beata Smarzynska Javorcik ,"Department of Economics, Oxford University, Oxford, United Kingdom",
901,Joshua  Gans ,"Rotman School of Management, University of Toronto, Toronto, Canada",
902,Costas  Azariadis ,"Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",
903,Rachel  Croson ,"Economics Department, Michigan State University, East Lansing, Michigan (USA)",
904,Graham  Elliott ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
905,Michael D. Hurd ,,
906,Vojislav  Maksimovic ,"Finance Department, Robert H. Smith School of Business, University of Maryland, College Park, Maryland (USA)",
